username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
j_quell_n	10/9/16 16:59	0	2	@gabriellejennif I'll take either I am poor and want Taco Bell		@gabriellejennif		7.85269E+17	https://twitter.com/j_quell_n/status/785268601834053633
Potassium98	10/9/16 16:59	1	1	@raigen_raigen *stumbles out of taco bell *		@raigen_raigen		7.85269E+17	https://twitter.com/Potassium98/status/785268543432556544
quiero_opinar	10/9/16 16:59	0	0	@pilarmoraga te vi en un comercial de taco bell en Canada ;)		@pilarmoraga		7.85269E+17	https://twitter.com/quiero_opinar/status/785268524600037378
Dallassssss99	10/9/16 16:58	0	2	"so we pull into Taco Bell and Landyn goes I want a large coke mommy"""""				7.85268E+17	https://twitter.com/Dallassssss99/status/785268328549978113
aretha_tavares	10/9/16 16:58	0	0	@aretha_tavares decidi que a gente vai no taco bell mas nÌ£o sei o que mais vc nÌ£o ajuda		@aretha_tavares		7.85268E+17	https://twitter.com/aretha_tavares/status/785268290495123457
z00mya	10/9/16 16:58	1	3	@moistdamian Taco Bell isn't something to joke about		@moistdamian		7.85268E+17	https://twitter.com/z00mya/status/785268262216937473
LILDICKASSNlGGA	10/9/16 16:58	0	0	@jennajadecb your butthole is beautiful regardless of the fire it spews after you eat Taco Bell		@jennajadecb		7.85268E+17	https://twitter.com/LILDICKASSNlGGA/status/785268189500440577
AnzlyTessa	10/9/16 16:58	0	2	When I realize I'm being emotional and moody I just hit up Taco Bell				7.85268E+17	https://twitter.com/AnzlyTessa/status/785268115265290241
SMShadley	10/9/16 16:57	0	0	Backyard pre-party @maroon5 #Boise concert. @Taco Bell Arena https://www. instagram.com/p/BLXIaw4g8WL/	Boise				
dulosis	10/9/16 16:57	0	0	some1 bring me a taco bell steak quesadilla				7.85268E+17	https://twitter.com/dulosis/status/785268020025229312
Maryah_Carrasco	10/9/16 16:57	0	1	taco bell sounds really good rn				7.85268E+17	https://twitter.com/Maryah_Carrasco/status/785268002077962240
sickler_emily	10/9/16 16:56	0	1	S/O to @sheehan_maddy for bringing me Taco Bell		@sheehan_maddy		7.85268E+17	https://twitter.com/sickler_emily/status/785267806350745600
calderaleilani	10/9/16 16:56	0	0	WE SENT MY COUSIN TO TACOBELL TO GET DRINK CARRIERS LMFAO				7.85268E+17	https://twitter.com/calderaleilani/status/785267794203914240
magnificentp	10/9/16 16:56	0	0	Taco Bell makes my ass cry. https:// twitter.com/reinascully/st atus/785172147035447296 ‰Û_				7.85268E+17	https://twitter.com/magnificentp/status/785267748876066816
MaxtonTyler17	10/9/16 16:56	0	1	I got mistaken for a homeless person in the Tacobell I used to work at and was offered a burrito. I dont look that rough. pic.twitter.com/iy5LeDE0Uu				7.85268E+17	https://twitter.com/MaxtonTyler17/status/785267691628204032
SubriaAmor	10/9/16 16:56	0	0	Taco Bell I want	Oxnard				
macceyyy	10/9/16 16:56	0	3	Sos need Taco Bell				7.85268E+17	https://twitter.com/macceyyy/status/785267647239692288
AsiaDarsha	10/9/16 16:55	0	0	i slightly want some taco bell 					
axbenedict	10/9/16 16:55	0	10	Taco Bell is playing In the Arms of the Angel					
AngieMoralesss	10/9/16 16:55	0	1	In need of taco bell				7.85267E+17	https://twitter.com/AngieMoralesss/status/785267476921589761
NateGraves29	10/9/16 16:55	1	1	@TBabysowild lol all the pineapples in the world won't help them taco bell burger king chipotle eatin thotties you know Tbae		@TBabysowild		7.85267E+17	https://twitter.com/NateGraves29/status/785267473985605632
vball_life7	10/9/16 16:55	0	0	I'm really upset Taco Bell isn't open				7.85267E+17	https://twitter.com/vball_life7/status/785267470785536000
ShelbyEagan	10/9/16 16:55	0	0	If @realChadJohnson brought me Taco Bell so I don't have to cook					
lisalisalisatur	10/9/16 16:55	0	0	The only reason i like the new taco bell commercial is because the one bish has at least ten forks in her hair				7.85267E+17	https://twitter.com/lisalisalisatur/status/785267411079471104
Rvander123	10/9/16 16:55	0	0	How dumb can the people from @tacobell be? @TacoBellTeam		@tacobell @TacoBellTeam		7.85267E+17	https://twitter.com/Rvander123/status/785267388270936068
MartinezGroup13	10/9/16 16:55	0	0	Karl-Anthony Towns Wins Taco Bell Skills Challenge http:// slninja.com/Mjlv #unitedgames #sport pic.twitter.com/FSfr2isUp6			#unitedgames #sport	7.85267E+17	https://twitter.com/MartinezGroup13/status/785267370843594752
HoneyBeez_	10/9/16 16:54	1	0	@lexpfromthevill hot wings pizza chicken & Taco Bell		@lexpfromthevill		7.85267E+17	https://twitter.com/HoneyBeez_/status/785267345505849344
im_channelle	10/9/16 16:54	0	2	lets go on a taco run. (& when i mean run i mean like getting into a car & going to @tacobell & ordering 10 tacos/burritos ayyyy)		@tacobell		7.85267E+17	https://twitter.com/im_channelle/status/785267250861334528
_pmugg	10/9/16 16:54	0	0	I can not eat from Taco Bell				7.85267E+17	https://twitter.com/_pmugg/status/785267176479522817
kaitlyn_sibley	10/9/16 16:54	0	6	Went through the Taco Bell drive thru at 3:30 am & the worker asked if he could run his hands through my beautiful blonde hair				7.85267E+17	https://twitter.com/kaitlyn_sibley/status/785267148872617985
ChuChie__	10/9/16 16:53	0	0	Taco Bell and Rob & Chyna				7.85267E+17	https://twitter.com/ChuChie__/status/785267038067523584
brittcarey11	10/9/16 16:53	0	1	Ate Taco Bell 3 hours ago & now I'm eating fried catfish with curly fries & nacho cheese. Don't mind my fat ass.	Wichita Falls				
andrewrea1986	10/9/16 16:53	0	1	@ScreenGurus I prefer taco bell	Colchester				
